gene_name,LFC,logP
TRIB2,-0.73889,0.960704882
GLS,0.18578,0.960546221
IKBIP,-0.25676,0.960506565
HAPLN2,0.29541,0.960387618
BCORL1,0.11077,0.960308338
ATXN7L1,-0.35267,0.960268704
NFS1,0.25813,0.960189446
SARDH,-0.69228,0.960189446
CASR,-0.29574,0.959912157
TCP11L2,0.24688,0.959872558
IL16,0.12195,0.959753785
ARMC4,-0.51963,0.959674621
MPV17,0.23593,0.959358108
CD86,-0.29447,0.959358108
KIAA0430,-0.39325,0.959318561
PRDM16,0.28819,0.959279016
BIK,-0.22843,0.959239476
ZSCAN29,0.0081265,0.958962792
PRRT1,0.35944,0.958804766
ZNF558,-0.069328,0.958804766
ZNF609,-0.27601,0.958646798
PTP4A2,0.15696,0.958212681
ZNF71,-0.23615,0.958133797
ADAT2,0.20722,0.957857817
GABRA5,0.19764,0.957778998
NEFL,-0.49974,0.957424488
XRN1,-0.31577,0.957385115
AMHR2,0.10999,0.957070267
PTAFR,-0.43567,0.957070267
OR52B4,-0.080115,0.956873602
OR5W2,-0.33076,0.956637722
CLPS,0.21511,0.95651983
ARHGEF10,0.17936,0.95636269
FZD4,-0.081146,0.956244873
TPM3,-0.31573,0.956166346
OR5D14,-0.4235,0.956048582
USP22,0.14163,0.95597009
SLC22A2,-0.17652,0.955852379
PREX2,0.2221,0.955813149
PENK,0.019585,0.955146783
TRIM67,0.41091,0.954990139
LGALS9C,0.048495,0.954794414
PUM2,-0.38656,0.954677021
HNRNPH3,0.27925,0.954637897
PGM2L1,0.10263,0.954637897
TBC1D32,-0.27484,0.954520547
PAPSS2,0.25353,0.954403228
CEBPD,0.36164,0.954129608
TMEM59L,-0.69572,0.954090533
PFN3,0.24885,0.953895213
DHRS2,-0.29036,0.95373902
HOXA13,0.34619,0.95369998
GBF1,0.30347,0.953543858
ACAD9,-0.51928,0.953387791
PLEKHA3,-0.42252,0.953309779
HLCS,-0.58308,0.953309779
SGK223,0.33335,0.953270778
DHX35,0.093468,0.95323178
CTAGE5,-0.40206,0.953153796
EME1,-0.34542,0.952919927
PAIP1,-0.44279,0.952919927
CT47A11,-0.55818,0.952452567
OR13A1,0.16496,0.952296892
SEPHS2,0.20075,0.952141273
COPB1,0.27668,0.952063484
SPRR1B,-0.50882,0.951985709
TSPO2,0.20834,0.951752468
RMI1,0.20435,0.951752468
SLC5A5,0.32294,0.951713607
ARL5B,0.41626,0.951635895
RTN4RL2,0.185,0.951441675
MAGEB17,0.048157,0.951364012
AADAC,-0.22108,0.951364012
RPS11,0.46764,0.951286362
MEP1B,0.26023,0.951092299
C7orf31,0.10243,0.950975902
CFB,0.35311,0.950859537
FAM98C,0.32725,0.950820755
RPS15A,0.62084,0.950743203
HPCAL1,-0.060018,0.950278178
OR2T8,0.24892,0.950239448
HMP19,-0.3519,0.950239448
PDIA5,-0.38706,0.95012328
KLF17,0.24181,0.950007143
HNMT,-0.25449,0.949929736
FANCD2OS,0.11037,0.949581573
TSPAN9,-0.33137,0.949504241
RAB9B,-0.527,0.949195052
ZNF710,-0.11205,0.949079163
GBX2,0.23163,0.949001921
CASP5,-0.30637,0.948924692
PRSS55,0.10901,0.948847478
CCDC130,-0.76303,0.948577334
FRG1,0.37728,0.948538756
RPS16,0.25253,0.948461609
KCNIP3,-0.20322,0.948345916
CSF2,0.22405,0.948230253
DEFB123,-0.25525,0.948191706
MRPS27,-0.44245,0.948114621
ZNF676,-0.26011,0.9476909
LRRC14,0.39098,0.947613905
CDK6,0.26741,0.947536923
TAS2R14,-0.45613,0.947536923
STK36,-0.42463,0.947459954
VAPA,0.43666,0.947075316
TEX22,-0.30491,0.94699843
TNFRSF17,-0.14633,0.9466142
PSMA1,0.30999,0.946575796
KCNJ2,0.29213,0.946575796
ZNF146,-0.22286,0.946460604
TBX22,-0.32388,0.946345442
ABCB5,0.075597,0.946307061
PELO,0.30888,0.946153573
ABCA4,-0.76639,0.94611521
ETFA,0.084415,0.946076849
CLDN15,0.44628,0.946000139
HIST1H2BG,-0.26846,0.945693434
SLC35F6,0.32416,0.945540163
CCDC15,0.20724,0.945501853
MED10,-0.048025,0.945501853
SAMSN1,-0.45729,0.945386945
HOXD13,0.31404,0.945310357
RPLP0,0.4218,0.945233782
SENP1,-0.30831,0.9451955
HSFX2,-0.099742,0.945157221
DAP,-0.97431,0.945157221
ANKRD37,0.069184,0.944965876
RPL37,0.48868,0.944927618
GNA15,0.22001,0.94485111
SYCP1,-0.37045,0.944736374
RBP1,-0.57348,0.944698136
HIST1H2AG,0.091561,0.944545215
SLC13A2,-0.35371,0.944392348
SAV1,-0.53627,0.944392348
C1orf100,-0.39648,0.94435414
GLTP,-0.31537,0.944315935
ITGAE,0.2127,0.94420134
TNIP3,-0.2686,0.944086776
PCDHGA7,-0.5688,0.944010417
NGFR,0.22033,0.943895903
NDUFAF2,-0.36946,0.943895903
RNF152,0.11693,0.943857738
TP53BP1,-0.174,0.943819577
LILRA1,0.16401,0.943781419
TARM1,0.13328,0.943590679
GNAT1,0.35817,0.943323785
CACUL1,-0.065919,0.943323785
OR2A7,-0.0033102,0.942942791
RAB2A,0.32495,0.94290471
NOL12,-0.47145,0.942866633
TRIM38,-0.48702,0.942638237
BTN3A2,-0.29742,0.942562132
C4orf27,-0.29636,0.942333896
TMEM239,0.24269,0.942295868
SETBP1,0.13948,0.941687879
NDUFAF1,-0.94641,0.941687879
IVD,-0.37377,0.941536014
Control_174,-0.13338,0.941422151
ABCG1,-0.43958,0.941384203
ODF3,0.054252,0.941270379
SAMHD1,0.35788,0.941080739
TAX1BP1,-0.63785,0.941042821
CEBPG,-0.65312,0.940777487
ZNF551,0.21246,0.940701708
SNRPN,-0.17225,0.940360862
PFKM,0.32952,0.939982457
ROS1,0.43123,0.939906816
PPIP5K1,0.06146,0.939793379
PLCL1,0.20641,0.939679971
ARPC3,0.19878,0.939604383
DEFB104B,-0.012842,0.939604383
TBC1D3B,0.36746,0.939566593
GJD2,-0.34612,0.939566593
SGCE,0.017408,0.939453245
SCUBE1,0.33192,0.93918888
XK,-0.41153,0.939151127
CISD1,0.19761,0.939037887
GUCA2B,0.14243,0.938773775
SYNE1,-0.39742,0.938773775
ZFP62,-0.40751,0.938736058
TM7SF2,0.056321,0.938660633
SCGB1C2,0.23826,0.938283707
BEX2,0.024282,0.938283707
NME7,-0.33762,0.938283707
TSGA13,0.34055,0.938246032
RAB8A,-0.21657,0.938208361
CBFA2T3,-0.43466,0.937944753
KLRF2,-0.067384,0.937907107
ERGIC2,-0.43174,0.937794191
OR51F2,-0.4457,0.93771893
KCNAB3,0.33438,0.937681304
KDM3B,0.15788,0.937568447
OR1S2,-0.32165,0.937380416
CC2D2A,-0.05453,0.937192467
CCKAR,-0.30585,0.937192467
KCNK2,0.26973,0.936929474
ITFG3,0.26657,0.936854363
NRG3,0.30442,0.936816812
LOC100130880,0.18375,0.93674172
NAT1,-0.36397,0.936704179
CD300E,0.12161,0.936666641
DCAF8,0.021461,0.936591575
IZUMO2,-0.37193,0.936591575
ZNF383,-0.34404,0.936554047
NSUN3,-0.1102,0.936479
IGLL1,0.071651,0.936403967
NOC3L,0.37268,0.936291441
ZNF675,-0.16503,0.936178944
TAF12,-0.35393,0.935954037
NOL4,-0.48326,0.935879094
CYB5R2,-0.40844,0.935841628
BAHD1,0.29803,0.935691793
DHX34,0.1851,0.935654343
HCST,0.37529,0.935467139
CHRNA5,-0.052526,0.935429708
ZNF586,-0.19898,0.935092973
POM121,-0.22343,0.935018178
SCGB1A1,-0.13128,0.934719129
DEFB1,-0.44263,0.934607038
ZNF362,0.24692,0.934532328
TMPRSS13,0.16447,0.934345606
INS,0.29935,0.934270941
SERPINB2,-0.40268,0.934270941
DARS2,-0.55554,0.933860507
PTTG1,-0.41318,0.933636798
STRAP,0.4784,0.933375949
FAM229B,0.144,0.933189724
XRCC2,0.083646,0.933040802
SLAIN2,0.23496,0.932743111
CYP4F2,-0.30473,0.932743111
ERCC6-PGBD3,0.26612,0.932557157
MDGA2,-0.25029,0.932557157
ZNF691,0.22888,0.932482798
FAM72C,0.10101,0.932445623
DNAJA1,-0.34496,0.932296956
CACNG4,0.26912,0.932185489
CPE,0.30168,0.931739906
NEURL4,0.21734,0.931702795
CBLB,-0.47325,0.931628582
FAM71A,-0.40113,0.931554382
PDXP,0.50187,0.931406019
ATCAY,-0.49091,0.931368936
ASPG,0.17722,0.93129478
TBX15,-0.22822,0.93129478
RBL1,-0.41914,0.93118357
ACKR2,0.1535,0.931072388
PBLD,-0.40203,0.931072388
SLC25A10,0.31934,0.930998283
AMELX,0.17748,0.930887149
CALML4,-0.28329,0.930776043
TEX264,0.50106,0.930701988
AGBL2,-0.3362,0.930701988
C21orf2,0.036188,0.930479899
KIF20B,-0.11882,0.930479899
NEDD4,0.23566,0.930405895
CEP97,0.27157,0.930368897
EPS8L3,0.25765,0.930368897
GALP,-0.55111,0.930110003
TBC1D2,0.08778,0.929999096
PRSS8,-0.19022,0.929888217
MCUR1,0.29392,0.929814314
XKRY2,-0.47386,0.929666544
CAMK2A,0.17488,0.929334247
OR8H1,0.25793,0.929223537
PRAME,0.089889,0.929075969
PDE6C,-0.25046,0.929002203
UBTFL1,-0.48302,0.928891578
USP1,-0.45342,0.92885471
SCARF1,0.29797,0.928780982
OR2W3,0.2797,0.928780982
FARP2,-0.44466,0.928780982
CST2,0.31745,0.928707266
GPR22,0.33243,0.928375701
ZSCAN32,-0.58246,0.928375701
SLC17A3,-1.0239,0.928228421
HIRIP3,0.066118,0.92804439
CAPG,0.31771,0.927566274
CHDH,0.16628,0.927529518
ANKRD20A1,-0.35788,0.927456014
FOXD4,-0.55041,0.927382523
TSPYL5,-0.20612,0.927345783
L3MBTL1,-0.39138,0.927235579
GJA4,0.1207,0.927198851
RANGAP1,0.41941,0.927088684
RBM14,-0.5477,0.926868435
RHOG,0.48818,0.926648298
PLA2G4E,-0.4188,0.925988554
ALG12,0.33386,0.925915311
FAM76A,-0.42704,0.925659058
NPY2R,-0.60162,0.925549281
AATK,0.24868,0.925512695
PLEKHA5,0.1878,0.925476112
FOXG1,0.28576,0.925439532
NPVF,-0.42366,0.925439532
GBP1,0.38834,0.925366382
PHF6,-0.34601,0.925220118
RPP38,0.3617,0.925183559
PCDHAC2,0.25936,0.925073903
ANKRD33B,-0.41799,0.924964274
ATP2B1,-0.41655,0.924927737
NT5C3B,0.33952,0.924854673
MAST2,0.22249,0.924781621
PAN3,0.15895,0.924781621
CAMK2G,-0.60565,0.924781621
DCAF11,0.30032,0.924416545
VWDE,0.29288,0.924307082
C20orf78,-0.56,0.9242706
LRRC40,0.25664,0.924197646
FNIP1,0.37444,0.924124705
MIOS,0.34783,0.923650883
NRBP2,0.2096,0.923650883
HS6ST2,-0.37041,0.923578033
MYRIP,-0.27599,0.923541612
MYNN,-0.50559,0.923213966
SLC20A1,0.33807,0.923177577
PLA2G2A,-0.50985,0.923177577
RSAD1,0.19026,0.92277749
CCDC66,-0.40821,0.922668439
MAL2,-0.34725,0.922559416
FGFBP1,-0.35342,0.92226882
OR4N2,-0.28394,0.92223251
ZNF100,-0.73655,0.922051001
ISL1,0.20532,0.92190585
PVALB,-0.22403,0.921797017
CNRIP1,-0.23164,0.921760746
NDOR1,0.32661,0.92165195
ACTL10,0.31182,0.921579435
FABP1,0.024186,0.921506932
SARAF,-0.21234,0.921506932
SLC24A5,-0.19635,0.921253266
PBX4,0.23953,0.921180817
MAGED1,-0.41406,0.92110838
ZCCHC10,-0.36968,0.921072166
GFRA2,0.35922,0.920999748
NRDE2,0.11017,0.920565489
YAP1,0.4819,0.920529321
SCAF8,0.37878,0.920420833
DEFB130,-0.47491,0.9201678
OR2T10,-0.34469,0.920095532
AGMAT,0.28246,0.920059403
KIFC1,0.23797,0.919698273
GCGR,0.28972,0.919517821
PRR22,0.15878,0.919517821
LRP2BP,0.20915,0.919409586
SEC61A2,0.23901,0.919301377
FGFBP2,0.40077,0.919265314
VSTM1,-0.3475,0.919265314
PNRC2,-0.59895,0.919265314
S1PR5,0.24829,0.918940877
ATP10A,0.22061,0.918940877
DEXI,-0.4185,0.918688705
OGFR,0.16764,0.918580676
C10orf25,-0.33605,0.918508671
TMEM87A,-0.43627,0.918508671
TAB3,-0.267,0.918328713
IL10RA,0.10952,0.918220773
ZNF439,-0.15215,0.918184799
CABP4,0.28059,0.917861169
PXDC1,-0.13533,0.917861169
MMP15,-0.13069,0.917825225
SLC18A2,0.35015,0.917537779
C19orf67,-0.45719,0.917071085
TCTE3,-0.43045,0.917035206
TRAK2,-0.19004,0.916963458
RAP1B,-0.14267,0.916784138
PMPCA,0.2633,0.916569052
ABTB2,0.18887,0.916569052
ZNF107,-0.36528,0.916318253
CASP2,-0.30113,0.916246622
ZSWIM5,0.12659,0.916067598
EPGN,0.33193,0.915996009
NGLY1,-0.4811,0.915888648
VCPIP1,0.45423,0.915852867
ZNF233,-0.18173,0.915817089
DZIP3,-0.38968,0.915674005
TMEM194A,0.3134,0.915530969
TLR9,0.31881,0.915459468
AMPH,-0.21385,0.915459468
C1orf198,0.22242,0.915352239
Control_183,-0.25673,0.915316502
LRRIQ1,-0.32104,0.915209309
C3orf22,-0.030786,0.915173583
PPIE,0.3746,0.914852188
TTC3,-0.53722,0.914816492
NAT8L,0.4047,0.914673738
IQCA1L,0.28525,0.91453103
BCL10,-0.033938,0.91453103
HSD17B11,-0.57573,0.914317057
TOMM6,0.25827,0.914245756
L1CAM,0.22198,0.91421011
C9orf131,-0.28346,0.913818195
OTC,-0.25293,0.913711371
SPRED2,-0.39642,0.913640169
C20orf144,-0.16224,0.913533389
ACADS,0.26783,0.913284336
ECEL1,0.28871,0.912964335
RANBP9,-0.31489,0.912893256
HMGB1,0.28365,0.912822188
Control_143,-0.30747,0.912822188
CHI3L2,-0.31284,0.912751132
CDKL4,-0.4146,0.912751132
HOXA2,-0.30419,0.912609055
RBM28,-0.462,0.912609055
PKD2L2,0.18387,0.912502528
LDHAL6B,0.26223,0.912396026
HEPH,-0.41582,0.91232504
ZNF280D,0.26111,0.912254065
OR1J1,-0.36137,0.912183102
PHYKPL,0.3101,0.912112151
VPS29,0.13924,0.912076679
RAB22A,0.11622,0.911899365
NPB,-0.30808,0.91182846
ICE2,-0.5378,0.91182846
TMEM167B,-0.22454,0.911793012
CAPRIN1,-0.52639,0.911757566
Control_63,-0.15806,0.911615814
HMGN4,-0.36859,0.911615814
PCDHA4,-0.3793,0.911403272
DEPDC7,-0.25508,0.911261635
STAM,0.25448,0.911226233
BEX5,-0.33247,0.910907744
ZNF705G,-0.44789,0.910872371
DECR2,0.20919,0.910766269
OR52M1,0.23379,0.910695548
OTUD3,-0.24005,0.910589489
WDPCP,0.23081,0.910271467
EPB41L2,-0.23175,0.910236146
BTNL2,0.037933,0.910200827
SLC15A1,-0.51588,0.910130198
GYPE,0.20006,0.910024277
EIF1AD,-0.6354,0.909988976
CADM4,-0.38717,0.909953678
ATF2,0.116,0.909883089
SIGLEC5,-0.5741,0.909847799
CMA1,-0.24117,0.909777228
RBM43,-0.40331,0.909600851
CSNK2A1,-0.13968,0.90953032
KIAA0319L,0.052975,0.909495059
TIAM1,0.32103,0.909213072
CDC42EP2,0.30537,0.909177837
AMIGO1,0.30131,0.909177837
OR4N4,0.22928,0.909107374
SLC39A3,0.28646,0.909001702
FNBP1,-0.17684,0.908544087
OR4C3,-0.45425,0.908368209
ZNF766,-0.21088,0.908192403
MUSTN1,-0.62664,0.908051809
ACBD4,0.038978,0.907841004
C1orf131,-0.73694,0.907560089
NOX5,-0.56982,0.907384609
PKN3,-0.42359,0.906928694
SIPA1L1,-0.34274,0.906753469
SETDB2,-0.49222,0.906648368
NDUFA5,-0.25493,0.906578315
SIX4,0.31313,0.906403231
MIR205HG,-0.38726,0.906228219
ZNF486,-0.37787,0.906193224
CBX8,-0.3742,0.906158233
TMEM255B,0.10173,0.906053276
DNAH8,-0.43604,0.905983319
CARD16,-0.45944,0.905948344
SEMA5B,0.11361,0.905843438
ZSWIM7,0.23922,0.905738557
PIH1D2,-0.44784,0.905738557
HCN4,0.22963,0.905633702
USP36,0.45619,0.905424066
GPX5,0.042843,0.90535421
CLPSL1,0.14553,0.90517962
MGAT4C,-0.31148,0.905039998
TRPM3,0.32517,0.904970203
MLC1,0.28318,0.904795767
PARM1,0.33006,0.9046214
RBM33,0.35266,0.904481958
NXPE3,-0.11478,0.904377405
SCG3,-0.20192,0.90434256
TBCA,-1.5844,0.904307717
NEIL3,-0.19508,0.904238041
PROP1,0.088766,0.904098721
TBC1D8B,-0.33198,0.904098721
OSBPL5,0.32757,0.904029078
TTI2,0.37893,0.903855019
KRTAP13-3,0.29249,0.90364624
SRR,-0.13625,0.903472334
SPHK2,-0.47501,0.903472334
CDY1B,-0.24638,0.903402792
OR10A3,-0.23392,0.90333326
GKAP1,-0.35963,0.90333326
GPR151,0.34548,0.903298498
ME2,-0.28324,0.90326374
LRRIQ4,-0.29726,0.90284685
Control_114,-0.24867,0.902777407
ZNF76,0.10798,0.902430361
Control_169,-0.30169,0.902360984
FAM25A,0.45233,0.902187593
USP48,0.12236,0.901806374
STAP1,-0.52869,0.901806374
MOGAT3,0.41984,0.901667832
OR10H2,-0.21358,0.901667832
ARHGDIA,0.36302,0.901356274
OR56A4,-0.26082,0.901217876
PRSS3,-0.47951,0.901217876
MAPRE2,0.23153,0.900975784
HIST1H3G,-0.25036,0.900975784
IL20,-0.021758,0.900872072
TLX2,-0.83379,0.900872072
SLC30A5,-0.71345,0.900837507
SLAMF9,0.23922,0.900664722
KCNIP1,-0.40441,0.900561084
DKK3,0.31468,0.900457471
PRKD3,0.2982,0.900457471
SNRNP27,0.50016,0.90038841
PARD3,-0.33905,0.900353883
OCIAD1,-0.44359,0.900112273
FNBP4,0.23807,0.900077768
APITD1,0.28964,0.899939776
OR8G5,0.30617,0.899836311
GJB3,0.52331,0.899801828
DENND2A,0.17313,0.899801828
EIF1,-0.2633,0.899594988
DCHS1,0.29214,0.899560525
LRRC66,-0.39344,0.899560525
PDIA2,0.1703,0.899491605
SCGB2A2,0.29001,0.899388247
LOC102723859,-0.34078,0.8993538
MUC17,0.41363,0.899250474
TIMM22,0.26216,0.899147173
BDP1,-0.45345,0.898940645
CD38,0.066033,0.898803014
PRB4,-0.30401,0.898768613
CNEP1R1,-0.43582,0.898734215
ESPL1,-0.34147,0.898562265
CCDC47,0.28424,0.898459127
OR9K2,0.22259,0.898424754
SP9,-0.43191,0.898424754
SCAMP2,-0.28592,0.898321649
RP1L1,-0.42572,0.898252926
TCP1,0.36533,0.898218569
IFT80,-0.14594,0.897943807
CHKB,0.02454,0.897909474
NUDT1,-0.46427,0.89777217
SFT2D3,0.45686,0.8976006
HEXDC,-0.14232,0.897291945
AMIGO2,-0.054903,0.89698351
LTB4R2,0.15466,0.896880746
ZNF136,-0.14006,0.896846497
ALAS1,-0.14948,0.896675293
TMEM14E,-0.29702,0.896469937
AK8,0.45672,0.896367295
ZNF236,0.31318,0.896230477
CXCL3,0.10544,0.896230477
MEP1A,-0.18588,0.896196279
C11orf95,-0.37116,0.896196279
TMED8,0.063871,0.89588862
TRUB1,-0.23523,0.895717793
OR2C3,-0.33369,0.895717793
CD44,0.071751,0.895547033
OMA1,-0.37422,0.895512889
C10orf91,-0.1777,0.89537634
DNAJC16,-0.60037,0.895239833
SLITRK5,0.28514,0.895205714
MX1,-0.20941,0.895205714
HSPA2,0.14051,0.895171596
ONECUT3,0.090996,0.895001051
COL9A3,-0.22529,0.894898755
HMHB1,-0.1136,0.894762399
ARHGAP19,0.029444,0.894694237
EVA1C,0.35845,0.894592014
NT5C1A,0.28792,0.894421696
HECW1,0.31498,0.89438764
KRT75,0.20336,0.894353587
TMEM189-UBE2V1,0.09978,0.894319537
ACTR5,0.27741,0.894251444
LOXL3,-0.071815,0.894183363
CHST3,0.074104,0.894115291
PIGA,-0.45323,0.894115291
ART4,0.33016,0.894047231
ZNF706,0.029194,0.89394516
SLC41A3,0.30302,0.893843113
SYT8,-0.96995,0.893843113
LENG1,-0.68482,0.893775095
OR6Q1,-0.48115,0.89374109
EVX1,0.23308,0.893639091
FEZF1,0.16049,0.893435165
CDK19,-0.15649,0.893435165
PLEC,0.32154,0.893333238
KRT20,-0.36876,0.893333238
FOXL2,-0.086644,0.8932653
MYL6B,-0.25204,0.8932653
SLC35B4,0.26051,0.893231335
C1orf50,-0.71826,0.893129456
RNF168,0.37199,0.89295971
SPHK1,-0.17706,0.89295971
CDK7,0.067878,0.892654335
KIF5C,-0.00073176,0.892654335
PTPN21,0.036657,0.892620417
SSH3,0.2755,0.89255259
LGALS13,0.055553,0.892416969
C17orf64,-0.17751,0.89238307
NDRG1,-0.38338,0.89231528
TNFRSF18,0.048372,0.892247501
PPM1F,-0.39147,0.892247501
GJB4,0.24446,0.892213616
TIMM9,-0.51805,0.892213616
DPEP2,0.22792,0.892179733
COPS4,0.25339,0.891841049
SURF1,-0.21787,0.891773344
RTKN,-0.20311,0.891739495
SLFN5,-0.4324,0.891671806
TAAR5,0.16091,0.891536459
PSEN1,-0.035945,0.891502629
HIST1H1D,-0.39094,0.891265891
GARS,-0.57626,0.891198276
ADCY8,0.16825,0.891130671
LRIT3,0.23665,0.890894136
CCDC136,0.11286,0.890860356
NUDT10,0.18905,0.890725262
PHF1,0.23413,0.890623969
ISG20,-0.25132,0.890556453
UBQLN2,0.12912,0.890522699
ELAVL4,0.32161,0.890488948
CNGB3,-0.56805,0.89038771
CALY,0.19833,0.890286495
C19orf66,0.2833,0.890252762
LIPC,0.30345,0.890185304
RSBN1L,-0.21898,0.890185304
PYCRL,0.1586,0.890117857
PABPC1L2A,-0.34392,0.890117857
EFHB,-0.12572,0.889949284
MIA,0.16833,0.889780776
DAZL,-0.48664,0.889612334
FSTL1,0.27532,0.88941029
MXRA8,0.23245,0.889342962
KBTBD8,-0.15646,0.888703874
HADHA,-0.40893,0.888569448
PAQR4,0.18832,0.888502251
TECTA,0.082619,0.888401475
DACH2,0.21778,0.888267143
FDX1,-0.41347,0.888267143
ARHGAP11A,-0.2074,0.888199993
TRIP4,-0.35773,0.888166422
TGIF2LX,-0.43032,0.887965049
APELA,-0.63833,0.887830852
KLHDC1,-0.19403,0.887730232
YBEY,-0.52074,0.887629634
PDE1A,0.072045,0.887596107
GLB1L2,-0.0073837,0.887562583
PQLC2,-0.46551,0.887529061
TBC1D5,0.22591,0.887361489
TCEB3C,0.086558,0.887361489
GPRIN1,-0.53137,0.887361489
HYPK,-0.5289,0.887294479
CLRN3,-0.23557,0.887260978
ARHGDIB,0.20503,0.887026541
ZBTB7C,-0.066176,0.886959582
CARF,-0.34312,0.886926106
MMP8,0.32215,0.88669185
STX12,0.24778,0.88669185
LCE2B,-0.064714,0.88669185
RFX4,-0.36332,0.88669185
MAP1LC3C,-0.59404,0.886558046
UBXN2A,-0.26375,0.886491159
ACVRL1,0.2725,0.886357417
BCAR1,0.30824,0.886323988
C4orf51,-0.10082,0.886323988
SNW1,0.25481,0.886123467
CDC20,0.19564,0.886090056
SHMT1,0.37941,0.886023242
ALKBH4,0.17565,0.885956437
UNC13C,0.39998,0.885923039
KIF5B,0.20708,0.885689323
B3GALT5,-0.71891,0.885555828
ILVBL,0.13181,0.88552246
MYOCD,-0.0048106,0.885455733
UCHL5,0.24842,0.885288959
ST3GAL2,0.36333,0.885188926
DDX19B,-0.29233,0.885155587
CNOT10,0.3503,0.885055584
TSPY8,-0.37251,0.884988929
MGAT3,0.30204,0.884922283
S100G,-0.10708,0.884855648
Control_202,-0.28515,0.884822334
NKRF,-0.48061,0.884789023
PSMC4,0.44239,0.884755715
LMTK2,-0.23766,0.884722409
GHRL,0.11834,0.88458921
TNFRSF21,-0.41629,0.884422769
PSMB4,-0.70768,0.88435621
SOWAHB,0.20651,0.884289662
PDSS2,-0.87172,0.884056823
Control_98,0.14447,0.883824109
CDH23,0.34901,0.883657961
UBE2Q1,0.24553,0.883657961
CENPU,-0.37738,0.883591519
A2M,-0.21377,0.883558302
AKAP13,0.24432,0.883491876
ANGPT4,0.242,0.88342546
PEBP1,0.2479,0.883359054
CXCL16,-0.26504,0.883259465
DPYD,-0.57777,0.883159898
SERAC1,0.33255,0.882994003
MAP3K7CL,-0.60321,0.882927663
PKD1,0.45763,0.882828172
RHOBTB2,0.23359,0.882828172
PDK1,-0.12993,0.882728704
RRH,0.19803,0.882695553
GATA4,0.23198,0.882596116
UBE2E2,-0.10132,0.882529836
CLASP1,0.26369,0.882397308
UTS2,-0.90377,0.882364183
UBE2R2,0.24772,0.882264821
RASSF4,-0.035542,0.882132373
SLC24A4,-0.30407,0.882099268
CSRP2,0.10227,0.882066165
DDI2,0.20427,0.881966871
CITED1,-0.43081,0.881933778
ZNF391,-0.53598,0.8818676
HYKK,-0.043157,0.881801432
OR5H14,-0.31484,0.881702199
PRKAR1B,0.29836,0.881371585
IGSF21,0.086213,0.881371585
G6PC2,-0.34376,0.881338537
ACER1,0.51787,0.88127245
RCC2,-0.14343,0.881173337
CCL3,0.31613,0.881107275
VIP,-0.42734,0.881074247
PSRC1,0.25047,0.880249376
SHANK1,0.32944,0.880117542
CD93,0.18469,0.880117542
GLRX5,-0.44808,0.88008459
TECPR1,-0.35192,0.879985748
SFTPC,-0.079986,0.879952806
PSMA4,0.020262,0.879853994
FOXI1,-0.39866,0.879788132
TRPM2,0.18968,0.879524783
ISLR,0.20173,0.879458971
PNLIPRP2,0.064184,0.879228707
EGR1,-0.30333,0.878998565
DLST,-0.23825,0.878932833
PTH2R,-0.28548,0.878801397
C22orf29,0.26432,0.878735695
RPS24,0.75676,0.878670002
THEM5,-0.097687,0.878670002
ANKK1,-0.33089,0.878670002
FZD5,0.26835,0.878604319
RINT1,0.13259,0.878407331
PLEKHA4,-0.15759,0.878374508
RQCD1,0.22696,0.878341688
LEPROT,0.25158,0.878112015
MYO1A,0.056538,0.877980828
TNFRSF1B,-0.28157,0.8778169
ARSE,-0.56453,0.877685802
NBEAL2,0.2348,0.877653034
DEFB106A,-0.20991,0.877489229
OR5B17,0.15024,0.877390976
MTG2,0.36309,0.877227271
MTRNR2L7,-0.63056,0.877161806
MTF1,0.33459,0.877063627
HIST1H2BN,-0.050748,0.876834629
IQGAP3,0.1024,0.876769223
ADAMDEC1,0.19936,0.876736524
GIMAP1-GIMAP5,-0.46074,0.876475019
PDIA3,-0.3268,0.876148359
LRRC2,0.22584,0.876115707
KRBA1,-0.3539,0.876050409
Control_237,-0.28451,0.875821945
SLC4A1,-0.02446,0.875724068
COL8A1,-0.45388,0.875528381
AMER2,0.19375,0.875463172
HTATIP2,-0.044068,0.875463172
ZNF526,-0.47912,0.875430571
ZNF575,0.38393,0.875397972
PREX1,-0.11218,0.875397972
PHB,0.28436,0.875235016
LAMB3,0.23024,0.874941849
RXFP1,0.23085,0.874518734
OR4K5,-0.14395,0.874486204
PPP3R1,-0.2568,0.874388628
LIN28B,0.1963,0.874356108
WBSCR17,-0.34433,0.874356108
CYB561D1,0.10282,0.874291074
C19orf33,-0.49221,0.874291074
NARS2,-0.36729,0.874161036
PTAR1,0.39941,0.874063533
TRIM6,-0.48579,0.873901077
KLHL7,-0.37318,0.873803632
SMAD9,0.27371,0.873771155
PSPC1,-0.65239,0.873706209
OR7A10,-0.25989,0.87367374
XRCC1,0.26414,0.873414072
FAM26E,0.2792,0.873251858
ZNF189,-0.37854,0.873251858
CABLES1,-0.59012,0.873219423
APP,-0.37784,0.873154559
FLT4,0.30685,0.873024861
SSNA1,-0.52099,0.873024861
CASQ2,-0.49986,0.872960027
C10orf71,0.0098545,0.872797982
QTRTD1,-0.48539,0.872797982
LOC100131303,-0.50973,0.872765581
SLC5A1,-0.25203,0.872700785
